,,,,,,,,,
,,,,,,,,,
,,,,Abbreviated Crash Report,,,,,
,,,,,,,,,
,,,,,,,,,
Date,DOT Case #,,Agency Case #,,City,County,Severity,Literal Description,
08/01/2024,20241436054,,24002750,,Ames,Story,Property Damage Only,US 69 S                                                                                                                                                                                                                                                       ,
08/01/2024,20241435378,,24002751,,Ames,Story,Suspected Serious Injury Crash,VALLEY VIEW RD AND HARRISON RD                                                                                                                                                                                                                                ,
08/02/2024,20241435839,,24002760,,Ames,Story,Possible/Unknown Injury Crash,24TH ST                                                                                                                                                                                                                                                       ,
08/02/2024,20241436408,,24002762,,Ames,Story,Property Damage Only,ONTARIO ST                                                                                                                                                                                                                                                    ,
08/04/2024,20241435605,,24002790,,Ames,Story,Property Damage Only,SE 16TH ST                                                                                                                                                                                                                                                    ,
08/05/2024,20241435735,,24002805,,Ames,Story,Property Damage Only,LINCOLN WAY                                                                                                                                                                                                                                                   ,
08/05/2024,20241436913,,24002801,,Ames,Story,Property Damage Only,US 69 S                                                                                                                                                                                                                                                       ,
08/05/2024,20241437081,,24002803,,Ames,Story,Suspected Minor Injury Crash,CLARK AVE AND SOUTH WALNUT ST AND US 69 N                                                                                                                                                                                                                     ,
08/07/2024,20241436409,,24002838,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/08/2024,20241438168,,24002844,,Ames,Story,Property Damage Only,SOUTH DAYTON AVE                                                                                                                                                                                                                                              ,
08/10/2024,20241441531,,24002875-A,,Ames,Story,Suspected Minor Injury Crash,DOTSON DR                                                                                                                                                                                                                                                     ,
08/11/2024,20241436914,,24002890,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/12/2024,20241436915,,24002901,,Ames,Story,Possible/Unknown Injury Crash,LINCOLN WAY                                                                                                                                                                                                                                                   ,
08/12/2024,20241437058,,24002903,,Ames,Story,Possible/Unknown Injury Crash,SOUTH DAKOTA AVE AND NORTH DAKOTA AVE AND LINCOLN WAY                                                                                                                                                                                                         ,
08/12/2024,20241436916,,24002904,,Ames,Story,Property Damage Only,STATE AVE                                                                                                                                                                                                                                                     ,
08/12/2024,20241437437,,24002899,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/13/2024,20241437438,,24002914,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/14/2024,20241437243,,24000677,,Ames,Story,Property Damage Only,MORRILL RD AND UNION DR                                                                                                                                                                                                                                       ,
08/15/2024,20241437441,,24002938,,Ames,Story,Possible/Unknown Injury Crash,SOUTH 16TH ST                                                                                                                                                                                                                                                 ,
08/15/2024,20241437440,,24002936,,Ames,Story,Property Damage Only,MORTENSEN PARKWAY AND UNIVERSITY BLVD                                                                                                                                                                                                                         ,
08/15/2024,20241437844,,24002946,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/18/2024,20241437666,,24002973,,Ames,Story,Property Damage Only,SOUTH FRANKLIN AVE AND COY ST                                                                                                                                                                                                                                 ,
08/19/2024,20241437628,,24000686,,Ames,Story,Property Damage Only,OFF ROADWAY/ROADWAY NOT FOUND                                                                                                                                                                                                                                 ,
08/19/2024,20241437845,,24002998,,Ames,Story,Property Damage Only,LINCOLN WAY                                                                                                                                                                                                                                                   ,
08/20/2024,20241439759,,24003005,,Ames,Story,Property Damage Only,LINCOLN WAY                                                                                                                                                                                                                                                   ,
08/22/2024,20241438169,,24003023,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/23/2024,20241438887,,24003044,,Ames,Story,Possible/Unknown Injury Crash,AIRPORT RD                                                                                                                                                                                                                                                    ,
08/23/2024,20241438406,,24003041,,Ames,Story,Property Damage Only,STAFFORD AVE                                                                                                                                                                                                                                                  ,
08/23/2024,20241438886,,24003043,,Ames,Story,Property Damage Only,SOUTH 16TH ST                                                                                                                                                                                                                                                 ,
08/23/2024,20241440747,,24003049,,Ames,Story,Property Damage Only,SOUTH 16TH ST                                                                                                                                                                                                                                                 ,
08/24/2024,20241438888,,24003071,,Ames,Story,Suspected Minor Injury Crash,SOUTH DAKOTA AVE AND MORTENSEN RD                                                                                                                                                                                                                             ,
08/25/2024,20241438889,,24003807,,Ames,Story,Possible/Unknown Injury Crash,MORTENSEN PARKWAY                                                                                                                                                                                                                                             ,
08/26/2024,20241438761,,24003097,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/26/2024,20241439090,,24003098,,Ames,Story,Property Damage Only,MARSHALL AVE                                                                                                                                                                                                                                                  ,
08/26/2024,20241439091,,24003099,,Ames,Story,Property Damage Only,US 69 N                                                                                                                                                                                                                                                       ,
08/26/2024,20241439177,,24-000762,,Ames,Story,Property Damage Only,HYLAND AVE AND SOUTH HYLAND AVE AND LINCOLN WAY                                                                                                                                                                                                               ,
08/26/2024,20241440264,,24003110,,Ames,Story,Property Damage Only,SOUTH 5TH ST FRONTAGE RD                                                                                                                                                                                                                                      ,
08/26/2024,20241439092,,24003102,,Ames,Story,Suspected Serious Injury Crash,BEACH AVE                                                                                                                                                                                                                                                     ,
08/27/2024,20241438762,,24003117,,Ames,Story,Property Damage Only,SOUTH DAYTON AVE                                                                                                                                                                                                                                              ,
08/27/2024,20241439093,,24003118,,Ames,Story,Property Damage Only,SOUTH DAKOTA AVE                                                                                                                                                                                                                                              ,
08/27/2024,20241439095,,24003127,,Ames,Story,Property Damage Only,"RAMP US 30 E TO UNIVERSITY BLVD, N                                                                                                                                                                                                                            ",
08/27/2024,20241439096,,24003128,,Ames,Story,Property Damage Only,LINCOLN WAY                                                                                                                                                                                                                                                   ,
08/28/2024,20241439097,,24003136,,Ames,Story,Property Damage Only,US 69 S                                                                                                                                                                                                                                                       ,
08/28/2024,20241439760,,24003147,,Ames,Story,Property Damage Only,KNAPP ST                                                                                                                                                                                                                                                      ,
08/29/2024,20241439271,,24-000954,,Ames,Story,Possible/Unknown Injury Crash,WEST 190TH ST                                                                                                                                                                                                                                                 ,
08/29/2024,20241439358,,24000777,,Ames,Story,Possible/Unknown Injury Crash,OFF ROADWAY/ROADWAY NOT FOUND                                                                                                                                                                                                                                 ,
08/29/2024,20241439256,,24003152,,Ames,Story,Property Damage Only,13TH ST                                                                                                                                                                                                                                                       ,
08/30/2024,20241440071,,24003161,,Ames,Story,Property Damage Only,JEWEL DR                                                                                                                                                                                                                                                      ,
08/30/2024,20241440072,,24003168,,Ames,Story,Property Damage Only,24TH ST                                                                                                                                                                                                                                                       ,
08/30/2024,20241440073,,24003169,,Ames,Story,Property Damage Only,SE 16TH ST                                                                                                                                                                                                                                                    ,
08/31/2024,20241441055,,24-000809,,Ames,Story,Suspected Minor Injury Crash,UNIVERSITY BLVD                                                                                                                                                                                                                                               ,
,,,,,,,,,